VLSI Lecture 1: Introduction,,,,
Final Scores,,,,
Rank,Players,Total Score (points),Correct Answers,Incorrect Answers
1,FDK.LTS,4084,4,0
2,HGJ.EPP,3999,4,0
3,HNQ.KQS,3998,4,0
4,VRC.RNH,3884,4,0
5,YYO.OWN,3822,4,0
6,VEG.LYR,3811,4,0
7,XZA.YRH,3809,4,0
8,PZA.XJJ,3716,4,0
9,QDP.CTK,3695,4,0
10,QXC.YPD,3692,4,0
11,AYM.ASL,3674,4,0
12,NLI.VPR,3663,4,0
13,LCN.JQY,3654,4,0
14,VHQ.WTN,3653,4,0
15,RBK.YNS,3648,4,0
16,OIF.ZOE,3611,4,0
17,VXE.VGZ,3611,4,0
18,EAM.JFW,3604,4,0
19,FTY.PAN,3577,4,0
20,JFA.BPN,3548,4,0
21,XHV.LZD,3544,4,0
22,UAQ.NVN,3527,4,0
23,XZG.DME,3517,4,0
24,LOV.PZQ,3503,4,0
25,FLC.NLG,3500,4,0
26,DJB.TMK,3448,4,0
27,CSS.AIP,3444,4,0
28,DYH.PKI,3437,4,0
29,EBU.JIA,3435,4,0
30,XUZ.XAK,3368,4,0
31,DGX.JTN,3364,4,0
32,VZC.MNU,3358,4,0
33,HYU.ZKT,3341,4,0
34,CBO.VHX,3333,4,0
35,OSC.YFH,3282,4,0
36,VGB.EAY,3214,4,0
37,VWP.FWM,2908,3,0
38,YGP.ZXG,2834,3,1
39,GNQ.FJQ,2782,3,1
40,MUW.QSY,2765,3,1
41,LNZ.XVE,2670,3,1
42,CRT.GRB,2641,3,1
43,QZB.JND,2591,3,1
44,BMP.BJD,2475,3,1
45,XVT.JEY,2472,3,1
46,XKS.MVS,2470,3,1
47,LAK.GUO,2458,3,0
48,LTA.SKN,2440,3,1
49,CFU.AOY,2436,3,1
50,JKI.BXA,2406,3,1
51,GOH.RST,2390,3,1
52,WLV.EQV,2307,3,1
53,YHL.XGD,2276,3,1
54,ZOG.SBK,2231,3,1
55,NWU.UEM,1774,2,2
56,SZO.UCW,1672,2,2
57,VQL.DSO,1581,2,1
58,JBW.BCF,1390,2,2
59,LQF.BDY,1352,2,1
60,ZYY.RUH,0,0,3
,,,,
Switch tabs/pages to view other result breakdown,,,,
